term,estimate
esperas,28.7489089623085
tcr,15.7934538950296
tcp,5.55613296848992
is_forecast,-9.06575492448131
days_to_holiday,0.330650778668946
distance_from_airports,0.00663774587410949
metar_overall_score,-0.318508213772121
metar_wind_score,-0.105282518600912
metar_visibility_score,-0.69381002468781
metar_cloud_cover_score,-0.2000947044359
metar_dew_point_spread_score,-0.17349873483745
metar_altimeter_setting_score,-1.65081653348977
metar_temperature_score,-0.0979933328436627
runway_number,70.9646926621747
runway_length,0.0937136618651493
elevation,-0.067550651691414
destino_SBBR,-64.4358020576073
destino_SBCF,-20.5120054078885
destino_SBCT,56.482410663866
destino_SBFL,45.310707915216
destino_SBGL,-66.5928101122077
destino_SBGR,-104.970187901637
destino_SBKP,6.32251980136617
destino_SBPA,-48.6143818859218
temperature,-1.36074273428105
dew_point,-3.45188032495659
visibility,0.00480201955165451
pressure,-2.5948761523755
wind_direction,0.0354764080343644
wind_speed,2.42143518276161
flight_direction,0.0241543216502464
flight_wind_direction,-18.4781460274016
flight_wind_speed,-0.00245233498217369
minute_sin,3.61291330304009
minute_cos,-0.954518959435424
hour_sin,-11.8660282030518
hour_cos,-1.54950734653208
day_sin,7.52891410389473
day_cos,-1.09915285897289
week_sin,0.21360796828335
week_cos,-6.32685256650005
month_sin,-2.80306054321615
month_cos,-2.80581556333563
number_flights_arriving,17.610042650094
number_flights_departing,-0.882308186991159
