Feature,Importance
destino_SBPA,1023806925.99766
elevation,752799210.292398
distance_from_airports,644396124.010292
flight_direction,373388408.305029
number_flights_departing,320236400.775284
esperas,268312829.304572
number_flights_arriving,201000063.37352
hour_sin,138761410.338791
pressure,18067181.0470179
wind_speed,775790.914964523
flight_wind_speed,277068.183916001
temperature,110827.273565564
metar_temperature_score,48978.3285277863
